"","gene_ID","gene_symbol","annotation_ID","primary_FBgn"
"7945","40717","Rpn5","CG1100","FBgn0028690"
"7946","36638","Rpn6","CG10149","FBgn0028689"
"7947","42641","Rpn7","CG5378","FBgn0028688"
"7948","32047","Rpt3","CG16916","FBgn0028686"
"7949","31567","Rpt4","CG3455","FBgn0028685"
"7950","42805","Tbp-1","CG10370","FBgn0028684"
"7951","36387","spt4","CG12372","FBgn0028683"
"7952","34350","Sur","CG5772","FBgn0028675"
"7953","43442","Vha100-1","CG1709","FBgn0028671"
"7954","42216","Vha100-2","CG18617","FBgn0028670"
"7955","31342","VhaAC39","CG2934","FBgn0028665"
"7956","38503","VhaM9.7-1","CG11589","FBgn0028664"
"7957","40389","VhaM9.7-2","CG7625","FBgn0028663"
"7958","45247","VhaPPA1-1","CG7007","FBgn0028662"
"7959","34787","adat","CG16889","FBgn0028658"
"7960","38796","mRpL50","CG8612","FBgn0028648"
"7961","43070","CG11902","CG11902","FBgn0028647"
"7962","43616","aralar1","CG2139","FBgn0028646"
"7963","34939","beat-Ib","CG7644","FBgn0028645"
"7964","34945","beat-Ic","CG4838","FBgn0028644"
"7965","47065","l(2)05510","CG13432","FBgn0028622"
"7966","33120","lcs","CG12794","FBgn0028583"
"7967","38846","lqf","CG8532","FBgn0028582"
"7968","3772646","mei-218","CG33935","FBgn0028581"
"7969","35583","phtf","CG3268","FBgn0028579"
"7970","38173","pUf68","CG12085","FBgn0028577"
"7971","43930","prc","CG5700","FBgn0028573"
"7972","33739","qtc","CG14039","FBgn0028572"
"7973","38170","robl62A","CG1014","FBgn0028567"
"7974","35774","sut1","CG8714","FBgn0028563"
"7975","44269","sut2","CG17975","FBgn0028562"
"7976","44268","sut3","CG17976","FBgn0028561"
"7977","36055","sut4","CG1380","FBgn0028560"
"7978","33967","xl6","CG10203","FBgn0028554"
"7979","37842","gammaSnap","CG3988","FBgn0028552"
"7980","43867","21-Nov","CG11405","FBgn0028550"
"7981","34774","ics","CG9031","FBgn0028546"
"7982","34812","CG16884","CG16884","FBgn0028544"
"7983","260645","nimB2","CG31839","FBgn0028543"
"7984","34814","nimB4","CG33115","FBgn0028542"
"7985","34778","TM9SF4","CG7364","FBgn0028541"
"7986","34779","CG9008","CG9008","FBgn0028540"
"7987","34783","CG31731","CG31731","FBgn0028539"
"7988","34785","sec71","CG7578","FBgn0028538"
"7989","318935","CG31775","CG31775","FBgn0028537"
"7990","34800","CG7916","CG7916","FBgn0028534"
"7991","34801","CG7953","CG7953","FBgn0028533"
"7992","34802","CG7968","CG7968","FBgn0028532"
"7993","34834","CG15286","CG15286","FBgn0028531"
"7994","34837","mTTF","CG18124","FBgn0028530"
